Date,Start Equity,End Equity,Sharpe Ratio,Sortino Ratio,Drawdown,Total Net Profit,Strategy
M1_20200131,100000.0,101990.0029,2.1425,1.9312,0.025,0.0199,Creative Orange Bear
M1_20200229,100164.0562,90001.5395,-2.9025,-2.5421,0.145,-0.1015,Creative Orange Bear
M1_20200331,90001.5395,90001.5395,0.0,0.0,0.0,0.0,Creative Orange Bear
M1_20200430,90001.5395,94959.8252,3.6574,3.0344,0.046,0.0551,Creative Orange Bear
M1_20200531,94096.8066,98471.9629,5.5057,8.1984,0.036,0.0465,Creative Orange Bear
M1_20200630,98471.9629,98939.8405,0.1423,0.119,0.068,0.0048,Creative Orange Bear
M1_20200731,100178.1505,105131.3906,4.0066,9.2098,0.018,0.0494,Creative Orange Bear
M1_20200831,105944.23,113583.6503,11.9632,16.4308,0.008,0.0721,Creative Orange Bear
M1_20200930,113180.4058,108224.2124,-1.8546,-2.3745,0.093,-0.0438,Creative Orange Bear
M1_20201031,109027.5547,106365.6864,-1.3269,-1.534,0.072,-0.0244,Creative Orange Bear
M1_20201130,106365.6864,118202.2336,11.7196,22.9046,0.02,0.1113,Creative Orange Bear
M1_20201231,117688.9871,121360.0273,2.8307,4.7101,0.015,0.0312,Creative Orange Bear
M1_20210131,121965.1023,120745.3479,-0.5963,-0.5983,0.037,-0.01,Creative Orange Bear
M1_20210228,120745.3479,124039.6451,1.0365,0.9208,0.031,0.0273,Creative Orange Bear
M1_20210331,124039.6451,129053.9534,1.2507,1.9975,0.032,0.0404,Creative Orange Bear
M1_20210430,129567.8636,137189.7937,6.3169,9.3258,0.012,0.0588,Creative Orange Bear
M1_20210531,136303.2986,137183.3698,0.5421,0.6261,0.039,0.0065,Creative Orange Bear
M1_20210630,137183.3698,140093.1145,2.9209,3.2095,0.021,0.0212,Creative Orange Bear
M1_20210731,140209.1225,143576.5785,1.865,2.6041,0.027,0.024,Creative Orange Bear
M1_20210831,143576.5785,147997.7742,4.2589,5.3934,0.017,0.0308,Creative Orange Bear
M1_20210930,147781.8704,142716.8108,-2.6015,-2.7122,0.039,-0.0343,Creative Orange Bear
M1_20211031,141000.2097,150734.0812,6.9403,8.8525,0.013,0.069,Creative Orange Bear
M1_20211130,150734.0812,152463.6133,1.0227,0.7525,0.023,0.0115,Creative Orange Bear
M1_20211231,149541.1889,156741.6497,4.7886,12.6132,0.03,0.0482,Creative Orange Bear
M1_20220131,156352.354,145643.4773,-3.249,-4.0814,0.096,-0.0685,Creative Orange Bear
M1_20220228,148225.8056,144280.9422,-1.4417,-2.1594,0.077,-0.0266,Creative Orange Bear
M1_20220331,143917.5996,151539.6875,4.2574,6.5294,0.049,0.053,Creative Orange Bear
M1_20220430,149242.2157,136342.5298,-2.712,-3.0988,0.097,-0.0864,Creative Orange Bear
M1_20220531,136342.5298,137403.4021,0.3697,0.4024,0.091,0.0078,Creative Orange Bear
M1_20220630,136645.1713,126574.3066,-1.8171,-2.1874,0.12,-0.0737,Creative Orange Bear
M1_20220731,125564.4126,136918.3663,6.0053,14.9562,0.028,0.0904,Creative Orange Bear
M1_20220831,136918.3663,132414.6967,-1.4765,-1.6231,0.072,-0.0329,Creative Orange Bear
M1_20220930,131424.4123,121325.691,-2.7104,-3.2265,0.112,-0.0768,Creative Orange Bear
M1_20221031,119484.6605,129933.5751,4.7277,8.7317,0.056,0.0874,Creative Orange Bear
M1_20221130,129011.419,131971.5072,1.2125,2.0201,0.039,0.0229,Creative Orange Bear
M1_20221231,136057.2166,128347.3707,-2.8492,-3.9654,0.071,-0.0567,Creative Orange Bear
M1_20230131,128347.3707,134334.2999,3.4609,4.9796,0.024,0.0466,Creative Orange Bear
M1_20230228,136276.0957,133391.4245,-2.4598,-3.2295,0.048,-0.0212,Creative Orange Bear
M1_20230331,132906.7997,135867.6,1.4199,2.081,0.046,0.0223,Creative Orange Bear
